# x_m,y_m,w_tr_right_m,w_tr_left_m,yaw
136.88,-277.946,7.702,4.13,-2.643522153598572
136.001,-278.424,7.942,3.954,-2.6179811758198306
135.135,-278.924,8.182,3.771,-2.5919046236779764
134.283,-279.446,8.419,3.572,-2.5619070193455244
133.446,-279.994,8.653,3.363,-2.5316856227657842
132.626,-280.567,8.875,3.142,-2.498091544796543
131.826,-281.167,9.087,2.918,-2.462478106013528
131.048,-281.795,9.284,2.7,-2.4248320706359494
130.294,-282.452,9.46,2.506,-2.383788333812173
129.568,-283.139,9.617,2.338,-2.34063704673051
128.872,-283.857,9.747,2.19,-2.295363120436315
128.209,-284.606,9.86,2.061,-2.248504619359534
127.582,-285.385,9.971,1.953,-2.1970922507198067
126.996,-286.195,10.09,1.871,-2.1460395673228723
126.452,-287.034,10.198,1.803,-2.0921754109065756
125.954,-287.901,10.308,1.733,-2.0362320429646283
125.505,-288.795,10.406,1.66,-1.9789702333675705
125.108,-289.713,10.488,1.59,-1.9232431558474532
124.763,-290.651,10.531,1.498,-1.8640735657502234
124.474,-291.608,10.544,1.409,-1.808013806928678
124.239,-292.58,10.516,1.366,-1.7497553724430746
124.061,-293.564,10.463,1.37,-1.6950273748871714
123.937,-294.557,10.374,1.421,-1.6398937716521937
123.868,-295.554,10.262,1.529,-1.5877946894121386
123.851,-296.554,10.145,1.684,-1.5377753009106514
123.884,-297.553,9.999,1.892,-1.4897306419467906
123.965,-298.55,9.829,2.124,-1.443464781445565
124.092,-299.542,9.634,2.369,-1.4020316230634002
124.26,-300.528,9.426,2.628,-1.3612397344691658
124.468,-301.506,9.206,2.887,-1.3231484149722532
124.713,-302.475,8.966,3.135,-1.289201334393343
124.991,-303.436,8.704,3.364,-1.256635759474481
125.3,-304.387,8.463,3.586,-1.2259559190501719
125.638,-305.328,8.229,3.8,-1.200319331070919
126.0,-306.26,8.007,4.0,-1.1746981188036887
126.386,-307.183,7.794,4.191,-1.1514546792448612
